per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;anio_mat;dist_mat_mun;dist_mat_part;dist_mat_pag;dist_mat_adm
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2024;0.24175824175824176;0.6428571428571429;0.08241758241758242;0.03296703296703297
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2024;0.47285522788203754;0.4403485254691689;0.023458445040214475;0.06333780160857909
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2024;0.5251038975626193;0.43176457373918903;0.005279119397955745;0.037852409300235874
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2024;0.5220476431829701;0.4424733907754688;0.006082108464267613;0.02939685757729346
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2024;0.48255408234473135;0.4675505931612003;0.004884856943475227;0.04501046755059316
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;2024;0.4830188679245283;0.5094339622641509;0.0037735849056603774;0.0037735849056603774
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2024;0.45650517147523134;0.4763200870985302;0.03309744148067501;0.03407729994556342
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2024;0.4695837780149413;0.4471718249733191;0.0096051227321238;0.0736392742796158
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2024;0.23333333333333334;0.3;0.26666666666666666;0.2
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2024;0.5343915343915344;0.42781557067271353;0.006802721088435374;0.030990173847316706
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2024;0.33371824480369516;0.5484988452655889;0.06812933025404157;0.049653579676674366
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2024;0.41963478575302837;0.4979208099801121;0.04538058217320557;0.03706382209365395
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2024;0.47762863534675615;0.4477069351230425;0.011465324384787472;0.06319910514541387
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2024;0.44634276561665776;0.48211425520555257;0.01761879337960491;0.05392418579818473
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2024;0.3968500443655723;0.520851818988465;0.0417036379769299;0.04059449866903283
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2024;0.48836789900811545;0.42560865644724977;0.009558160504959423;0.07646528403967538
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2024;0.25333333333333335;0.6066666666666667;0.06;0.08
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;2024;0.4756238971514999;0.4806654902949332;0.0065540710864633225;0.03715654146710361
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;2024;0.4420077972709552;0.5097465886939572;0.011208576998050682;0.037037037037037035
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2024;0.40020855057351407;0.5128258602711158;0.04640250260688217;0.04056308654848801
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;2024;0.4789915966386555;0.4957983193277311;0.025210084033613446;0.0
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2024;0.448559670781893;0.49794238683127573;0.00823045267489712;0.04526748971193416
2024-2025;40;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2024;0.4024745269286754;0.5553129548762736;0.010189228529839884;0.03202328966521106
2024-2025;41;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2024;0.4589308996088657;0.4740547588005215;0.014863102998696219;0.05215123859191656
2024-2025;42;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;2024;0.5278390297684675;0.3836824696802646;0.013230429988974642;0.07524807056229327
2024-2025;44;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;2024;0.4321449970041941;0.47693229478729776;0.019173157579388856;0.07174955062911924
2024-2025;45;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;2024;0.5521601685985248;0.4246575342465753;0.008429926238145416;0.014752370916754479
2024-2025;47;Tecnología;Centros de Formación Técnica;Técnico en Metalurgia;2024;0.6716417910447762;0.2537313432835821;0.05223880597014925;0.022388059701492536
2024-2025;48;Tecnología;Centros de Formación Técnica;Técnico en Minería;2024;0.5824011931394482;0.36539895600298283;0.017897091722595078;0.0343027591349739
