per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;anio_base_tit;dur_formal_carr;dur_real_carr
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2023;6;7.157894736842103
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2023;4.772432932469935;6.739130434782608
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2023;5.022610075366918;6.10591035303451
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2023;5.039321511179645;6.307632999228989
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2023;5.01556420233463;6.343709468223087
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;2023;5;7.100000000000002
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2023;4.467967479674797;6.414959349593496
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2023;5.203342618384401;6.019498607242341
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2023;s/i;s/i
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2023;5;5.784982935153582
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2023;4.547085201793722;7.448430493273543
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2023;4.657618213660245;7.503502626970228
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2023;4.521400778210117;6.976653696498054
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2023;4.560913705583756;6.42766497461929
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2023;5;7.203079884504331
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2023;4.994594594594594;7.301621621621622
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2023;4.012987012987013;6.974025974025974
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;2023;5.041990049751244;6.380298507462687
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;2023;4.991071428571429;6.145833333333333
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2023;4.29327731092437;6.7936974789915965
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;2023;5;7.914285714285715
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2023;4.329588014981273;8.344569288389513
2024-2025;40;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2023;5;6.52928870292887
2024-2025;41;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2023;4.562173458725183;6.010449320794148
