per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;per_tit_carr;tasa_emp
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;1er año;0.7009803921568627
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;1er año;0.44026974951830444
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;1er año;0.30156143923964696
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;1er año;0.2708407871198569
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;1er año;0.5277628032345013
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;1er año;0.8990825688073395
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;1er año;0.595836162027608
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;1er año;0.6535433070866141
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;1er año;0.7638888888888888
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;1er año;0.7302325581395349
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;1er año;0.7055016181229773
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;1er año;0.6563407550822846
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;1er año;0.595296423321901
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;1er año;0.6498586239396795
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;1er año;0.34498308906426156
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;1er año;0.7417051658966821
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;1er año;0.6853932584269663
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;1er año;0.6628646060078363
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;1er año;0.7475728155339806
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;1er año;0.39034866093986864
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;1er año;0.6162790697674418
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;1er año;0.7575205104831358
2024-2025;40;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;1er año;0.6364572605561277
2024-2025;41;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;1er año;0.7229064039408867
2024-2025;42;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;1er año;0.7705501618122977
2024-2025;44;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;1er año;0.6713660670879922
2024-2025;45;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;1er año;0.8805970149253731
2024-2025;47;Tecnología;Centros de Formación Técnica;Técnico en Metalurgia;1er año;0.868421052631579
2024-2025;48;Tecnología;Centros de Formación Técnica;Técnico en Minería;1er año;0.7895569620253164
2024-2025;51;Salud;Centros de Formación Técnica;Técnico en Podología;1er año;0.41739130434782606
2024-2025;52;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;1er año;0.5649769585253456
2024-2025;53;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;1er año;0.7142857142857143
2024-2025;54;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Producción Gráfica y Multimedia;1er año;0.2980132450331126
2024-2025;55;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);1er año;0.7363636363636363
2024-2025;56;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;1er año;0.7473684210526316
2024-2025;57;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;1er año;0.6894736842105263
2024-2025;59;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;1er año;0.4218487394957983
2024-2025;60;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;1er año;0.7125171939477304
2024-2025;62;Tecnología;Centros de Formación Técnica;Técnico en Topografía;1er año;0.6148723640399556
2024-2025;64;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;1er año;0.3288135593220339
2024-2025;66;Derecho;Centros de Formación Técnica;Técnico Jurídico;1er año;0.49563318777292575
2024-2025;67;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;1er año;0.4810606060606061
2024-2025;68;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;1er año;0.43239795918367346
2024-2025;70;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;1er año;0.7878963971442803
2024-2025;71;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;1er año;0.4643019554342883
2024-2025;72;Ciencias Sociales;Institutos Profesionales;Administración Pública;1er año;0.9846342962507683
2024-2025;73;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;1er año;0.4152227722772277
2024-2025;74;Arte y Arquitectura;Institutos Profesionales;Animación Digital;1er año;0.3665480427046263
2024-2025;75;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;1er año;0.4736238532110092
2024-2025;76;Tecnología;Institutos Profesionales;Construcción Civil;1er año;0.7181542461005199
2024-2025;77;Administración y Comercio;Institutos Profesionales;Contador Auditor;1er año;0.8097854077253219
2024-2025;78;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;1er año;0.3881856540084388
2024-2025;79;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;1er año;0.3325301204819277
2024-2025;80;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;1er año;0.4398563734290844
2024-2025;81;Tecnología;Institutos Profesionales;Diseño Industrial;1er año;0.4652014652014652
2024-2025;82;Salud;Institutos Profesionales;Fonoaudiología;1er año;0.471875
2024-2025;84;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;1er año;0.580568720379147
2024-2025;87;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;1er año;0.8983050847457628
2024-2025;88;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;1er año;0.8066847335140018
2024-2025;89;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;1er año;0.8279022403258656
2024-2025;90;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;1er año;0.8605527638190955
2024-2025;91;Tecnología;Institutos Profesionales;Ingeniería en Construcción;1er año;0.6611716220194289
2024-2025;93;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;1er año;0.8335826477187733
2024-2025;96;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;1er año;0.7661469933184856
