per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;per_tit_carr;coho_tit;anio_emp;tasa_emp
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;1er año;2018;2019;0.7433155080213903
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;1er año;2018;2019;0.4407252440725244
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;1er año;2018;2019;0.40306545153272577
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;1er año;2018;2019;0.31140350877192985
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;1er año;2018;2019;0.4915572232645403
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;1er año;2018;2019;s/i
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;1er año;2018;2019;0.644723092998955
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;1er año;2018;2019;0.6449579831932774
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;1er año;2018;2019;0.8169014084507042
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;1er año;2018;2019;0.875
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;1er año;2018;2019;0.700507614213198
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;1er año;2018;2019;0.6681715575620768
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;1er año;2018;2019;0.5650602409638554
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;1er año;2018;2019;0.7134416543574594
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;1er año;2018;2019;0.3621908127208481
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;1er año;2018;2019;0.7168949771689498
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;1er año;2018;2019;0.7156862745098039
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;1er año;2018;2019;0.5250999555752999
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;1er año;2018;2019;0.7619047619047619
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;1er año;2018;2019;0.3608490566037736
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;1er año;2018;2019;s/i
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;1er año;2018;2019;0.758887171561051
