per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;fecha_act;coho_tit;per_tit_carr;prom_ing_4to_anio:tit
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;Septiembre de 2024;2015;2019;973071.7746599998
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;Septiembre de 2024;2015;2019;877799.8986441168
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;Septiembre de 2024;2015;2019;639206.9579021406
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;Septiembre de 2024;2015;2019;652924.7248431616
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;Septiembre de 2024;2015;2019;700323.0449188148
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;Septiembre de 2024;2015;2019;s/i
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;Septiembre de 2024;2015;2019;1101223.2394778852
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;Septiembre de 2024;2015;2019;972927.8111711225
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;Septiembre de 2024;2015;2019;1623715.0227829397
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;Septiembre de 2024;2015;2019;1225492.2801567973
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;Septiembre de 2024;2015;2019;1111948.2116249998
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;Septiembre de 2024;2015;2019;1264132.8430905773
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;Septiembre de 2024;2015;2019;1139542.074072282
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;Septiembre de 2024;2015;2019;1187559.3350047264
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;Septiembre de 2024;2015;2019;726807.7607543101
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;Septiembre de 2024;2015;2019;1136094.3428552835
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;Septiembre de 2024;2015;2019;1152371.4534279222
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;Septiembre de 2024;2015;2019;819011.0668858591
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;Septiembre de 2024;2015;2019;1016434.2810498438
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;Septiembre de 2024;2015;2019;723224.498861445
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;Septiembre de 2024;2015;2019;s/i
