cod_ies;tipo_inst;nombre_inst;dir_sede_central;pag_web
959;Centros de Formación Técnica;Centro de Formación Técnica Academia Chilena de Yoga;Eliodoro Yáñez 820, Providencia;https://cftac.yoga/
382;Centros de Formación Técnica;Centro de Formación Técnica Alpes;Av. República 430, Santiago;www.alpescft.cl
534;Centros de Formación Técnica;Centro de Formación Técnica Asiste;Diego de Rosales 1637, Santiago;www.enaa.cl
456;Centros de Formación Técnica;Centro de Formación Técnica CEDUC - UCN;Miraflores 475 - Sector Porvenir, Coquimbo;www.ceduc.cl
312;Centros de Formación Técnica;Centro de Formación Técnica CENCO;Mac-Iver 125, Piso 10, Santiago;www.cftcenco.cl
236;Centros de Formación Técnica;Centro de Formación Técnica Centro Tecnológico Superior INFOMED;AV. Brown Norte 274, Ñuñoa;www.infomed.cl
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;Av. Libertador Bernardo O'Higgins 2182, Santiago;www.enac.cl
908;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Antofagasta;Riquelme 4259 Villa Ayquina, Calama; www.cfta.cl
902;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Arica y Parinacota;Las Acacias 2090, Arica;https://cftestatalaricayparinacota.cl/
909;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Atacama;Buin 522 - Templo 497, Chañaral;https://cftdeatacama.cl/
919;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Aysén del General Carlos Ibáñez del Campo ;Calle Ciro Arredondo 80, Puerto Aysén;https://cftestataldeaysen.cl/
910;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Coquimbo;Libertad 343, Ovalle;www.cftregioncoquimbo.cl/
916;Centros de Formación Técnica;Centro de Formación Técnica de la Región de La Araucanía;Manuel Matta 1055, Lautaro;www.cftaraucania.cl/
918;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Los Lagos;Vicente Pérez Rosales 529, Llanquihue;https://cftregionloslagos.cl/
917;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Los Ríos;Comercio 238, La Unión; www.cftdelosrios.cl
920;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Magallanes y Antártica;Francisco Sampaio 580, Porvenir;https://cftdemagallanes.cl/
906;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Tarapacá;Juanita Fernández 3199, Alto Hospicio;www.cftestataltarapaca.cl/
911;Centros de Formación Técnica;Centro de Formación Técnica de la Región de Valparaíso;Cancha 70, Viña Del Mar; www.tecnologicovalparaiso.cl
915;Centros de Formación Técnica;Centro de Formación Técnica de la Región del Bío Bio ;Los Philos 252, Tirúa;https://cftestatalbiobio.cl/
913;Centros de Formación Técnica;Centro de Formación Técnica de la Región del Libertador General Bernardo O'Higgins ;Av. José Miguel Carrera 1051, San Vicente De Tagua Tagua;https://cftohiggins.cl/
914;Centros de Formación Técnica;Centro de Formación Técnica de la Región del Maule ;Av. Presidente Ibañez 1105, Linares;www.cftmaule.cl
912;Centros de Formación Técnica;Centro de Formación Técnica de la Región Metropolitana de Santiago;Península 2035, Peñalolén; www.santiagocft.cl
435;Centros de Formación Técnica;Centro de Formación Técnica del Medio Ambiente;Agustinas 1954, Santiago;www.idma.cl
730;Centros de Formación Técnica;Centro de Formación Técnica Escuela Culinaria Francesa;Av. Américo Vespucio Sur 930, Las Condes;www.escuelaculinaria.cl
426;Centros de Formación Técnica;Centro de Formación Técnica Escuela de Comercio;Av. Ejército Libertador 306, Santiago;www.escueladecomercio.cl
