per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;fecha_act;ipbm_1er_anio;ipbm_2do_anio;ipbm_3er_anio;ipbm_4to_anio;ipbm_5to_anio
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;Septiembre de 2024;897110.9260638225;966671.4806349489;948421.1491278076;991283.7207196868;1009726.5986287066
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;Septiembre de 2024;738546.5357833593;788579.8600758788;838810.5216310354;871300.1923077313;912908.715219478
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;Septiembre de 2024;594973.0536774335;597107.0825365388;603580.6496867092;618261.7291320867;641248.0459839256
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;Septiembre de 2024;563423.9827608062;590491.389413393;588594.3954771694;611394.6997908301;675366.9501051856
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;Septiembre de 2024;586510.413928367;613815.4268106649;653486.8135978521;685774.6267915264;726728.1408595053
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;Septiembre de 2024;1128391.605236547;1196859.0707243127;1223610.8809571601;1284582.59971303;1393284.2788892523
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;Septiembre de 2024;873354.0065556348;924502.2590355163;998065.319884108;1073161.501834682;1183022.6853469901
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;Septiembre de 2024;857080.000191441;875368.2277017246;897565.4325691842;962995.439750479;1024273.1029518046
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;Septiembre de 2024;1105881.495364875;1238136.4492937739;1191314.173967662;1210239.4792830956;1180138.0667582175
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;Septiembre de 2024;1032119.926110936;1068490.6796865577;1155720.9123022386;1226193.4871705987;1236480.7008568482
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;Septiembre de 2024;868319.7778220621;946037.0845501857;977567.179700582;1057742.3754607844;1151709.67282153
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;Septiembre de 2024;979716.0839249623;1135844.928783319;1286525.8670056853;1377402.4009805487;1513058.828975003
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;Septiembre de 2024;967063.986503594;991228.1456704217;1041560.4179696544;1070608.149044833;1161470.2037518593
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;Septiembre de 2024;878728.926118414;928763.9057579222;1024644.8946016349;1109044.4633171475;1171588.3671013974
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;Septiembre de 2024;709403.1399698799;746602.5680098664;795943.0997234823;778874.876699473;838170.2080675069
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;Septiembre de 2024;1078485.8032686731;1143021.0480368766;1158436.935845168;1203712.0737672397;1245318.8640056676
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;Septiembre de 2024;828202.2268578137;921873.2029331453;924802.4822264023;1007661.831659451;1088375.7080142933
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;Septiembre de 2024;726531.0791387191;773829.1174218649;799243.4706580681;818029.8902153202;848853.6271455934
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;Septiembre de 2024;810965.7582100068;800479.5952387707;881119.8694951098;922081.0773350936;977209.7499427991
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;Septiembre de 2024;651251.5736147756;680691.5248711192;730234.4740343471;747398.5463910525;770443.3329820387
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;Septiembre de 2024;999623.4334438334;998872.573805098;1124297.733403761;1100447.6114654623;1295434.802981883
