per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;anio_mat;mat_1er_anio_mujeres;mat_1er_anio_hombres;mat_1er_anio_total;mat_tot_mujeres;mat_tot_hombres;mat_total
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2024;111.0;11.0;122.0;222.0;19;241
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2024;639.0;888.0;1527.0;1434.0;1850;3284
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2024;4104.0;18.0;4122.0;9975.0;40;10015
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2024;1680.0;62.0;1742.0;4330.0;160;4490
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2024;984.0;168.0;1152.0;2633.0;386;3019
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;2024;64.0;65.0;129.0;138.0;149;287
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2024;3524.0;2089.0;5613.0;7047.0;4087;11134
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2024;313.0;75.0;388.0;1060.0;208;1268
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2024;2.0;5.0;7.0;19.0;22;41
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2024;731.0;266.0;997.0;1445.0;540;1985
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2024;261.0;212.0;473.0;604.0;449;1053
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2024;516.0;2516.0;3032.0;844.0;5105;5949
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2024;353.0;1742.0;2095.0;706.0;3514;4220
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2024;610.0;361.0;971.0;1544.0;825;2369
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2024;530.0;1553.0;2083.0;1151.0;3594;4745
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2024;203.0;2846.0;3049.0;364.0;5995;6359
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2024;6.0;80.0;86.0;11.0;146;157
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;2024;7609.0;1408.0;9017.0;18724.0;3429;22153
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;2024;733.0;178.0;911.0;2118.0;534;2652
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2024;2728.0;2294.0;5022.0;5569.0;4687;10256
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;2024;21.0;31.0;52.0;52.0;74;126
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2024;23.0;222.0;245.0;50.0;506;556
2024-2025;40;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2024;447.0;108.0;555.0;1229.0;296;1525
2024-2025;41;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2024;1092.0;1236.0;2328.0;2168.0;2492;4660
2024-2025;42;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;2024;279.0;1723.0;2002.0;493.0;3407;3900
2024-2025;44;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;2024;304.0;3604.0;3908.0;449.0;6551;7000
2024-2025;45;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;2024;57.0;475.0;532.0;82.0;958;1040
2024-2025;47;Tecnología;Centros de Formación Técnica;Técnico en Metalurgia;2024;54.0;65.0;119.0;65.0;91;156
2024-2025;48;Tecnología;Centros de Formación Técnica;Técnico en Minería;2024;371.0;508.0;879.0;582.0;932;1514
2024-2025;51;Salud;Centros de Formación Técnica;Técnico en Podología;2024;537.0;36.0;573.0;1580.0;89;1669
2024-2025;52;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;2024;510.0;372.0;882.0;604.0;565;1169
2024-2025;53;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;2024;;;;;10;10
2024-2025;54;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2024;4.0;2.0;6.0;35.0;36;71
2024-2025;55;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);2024;78.0;40.0;118.0;174.0;102;276
2024-2025;56;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;2024;74.0;24.0;98.0;175.0;64;239
2024-2025;57;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;2024;17.0;218.0;235.0;24.0;407;431
2024-2025;59;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;2024;1267.0;215.0;1482.0;3020.0;490;3510
2024-2025;60;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;2024;29.0;271.0;300.0;43.0;501;544
2024-2025;62;Tecnología;Centros de Formación Técnica;Técnico en Topografía;2024;73.0;309.0;382.0;204.0;773;977
2024-2025;64;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;2024;594.0;319.0;913.0;1201.0;696;1897
2024-2025;66;Derecho;Centros de Formación Técnica;Técnico Jurídico;2024;323.0;113.0;436.0;822.0;266;1088
2024-2025;67;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;2024;204.0;51.0;255.0;496.0;144;640
2024-2025;68;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;2024;991.0;303.0;1294.0;2313.0;666;2979
2024-2025;70;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;2024;3712.0;2328.0;6040.0;15976.0;9128;25104
2024-2025;71;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;2024;927.0;835.0;1762.0;4092.0;3480;7572
2024-2025;72;Ciencias Sociales;Institutos Profesionales;Administración Pública;2024;757.0;437.0;1194.0;3285.0;2101;5386
2024-2025;73;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;2024;755.0;354.0;1109.0;2705.0;1444;4149
2024-2025;74;Arte y Arquitectura;Institutos Profesionales;Animación Digital;2024;346.0;332.0;678.0;1004.0;1012;2016
2024-2025;75;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;2024;266.0;448.0;714.0;820.0;1634;2454
2024-2025;76;Tecnología;Institutos Profesionales;Construcción Civil;2024;390.0;1674.0;2064.0;1774.0;7402;9176
2024-2025;77;Administración y Comercio;Institutos Profesionales;Contador Auditor;2024;1983.0;1291.0;3274.0;7895.0;4805;12700
2024-2025;78;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;2024;242.0;34.0;276.0;739.0;111;850
2024-2025;79;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;2024;373.0;88.0;461.0;1258.0;233;1491
2024-2025;80;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;2024;1100.0;770.0;1870.0;3602.0;2727;6329
2024-2025;81;Tecnología;Institutos Profesionales;Diseño Industrial;2024;105.0;74.0;179.0;373.0;372;745
2024-2025;82;Salud;Institutos Profesionales;Fonoaudiología;2024;157.0;15.0;172.0;583.0;54;637
2024-2025;84;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;2024;356.0;487.0;843.0;1828.0;2442;4270
2024-2025;87;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;2024;122.0;1200.0;1322.0;350.0;4389;4739
2024-2025;88;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;2024;750.0;559.0;1309.0;2040.0;1693;3733
