per_sies;cod_ies;total_mujeres;total_hombres;total_gral;prom_edad_mujeres;prom_edad_hombres;prom_edad_inst;num_acad_1_inst;num_acad_2_inst;num_acad_3_mas_inst;num_acad_nform_doctor;num_acad_nform_magister;num_acad_nform_esp_med_odo;num_acad_nform_tit_prof;num_acad_nform_licencia;num_acad_nform_tns;num_acad_nform_tnm;num_acad_nform_ens_media;num_acad_nform_stit_sgra;num_acad_nform_sin_info;num_acad_reg_ar_pa;num_acad_reg_tarap;num_acad_reg_antof;num_acad_reg_ataca;num_acad_reg_coqui;num_acad_reg_valpo;num_acad_reg_metro;num_acad_reg_ohigg;num_acad_reg_maule;num_acad_reg_nuble;num_acad_reg_biobi;num_acad_reg_arau;num_acad_reg_losri;num_acad_reg_losla;num_acad_reg_aysen;num_acad_reg_magal;num_acad_reg_sin_inf;num_acad_nac_chile;num_acad_nac_extra;prom_gral_hrs_acad;prom_muj_hrs_acad;prom_hom_hrs_acad;num_acad_hrs_menos_11;num_acad_hrs_ent_11_22;num_acad_hrs_ent_23_38;num_acad_hrs_mas_38;num_acad_hrs_sin_info
PAC_2024;99;21;27;48;46.2380952380952;49.0740740740741;47.8333333333333;1;8;9;;7;;39;;2;;;;;;;;;;;;;;;;;;48;;;;48;;20.0625;21.4285714285714;19;15;17;6;10;
PAC_2024;100;1376;2953;4329;44.2478197674419;46.1158144260074;45.5220605220605;279;448;393;45;1285;;2354;171;414;9;15;;36;119;158;276;103;184;200;1408;191;300;208;404;224;150;224;62;118;;4222;107;15.7573699412247;15.7964690614618;15.7391510487605;1558;1996;742;33;
PAC_2024;101;18;23;41;46.0555555555556;42.6521739130435;44.1463414634146;2;5;8;;4;;37;;;;;;;;;;;;41;;;;;;;;;;;;40;1;8.75609756097561;8.88888888888889;8.65217391304348;31;9;;1;
PAC_2024;103;17;64;81;49.2352941176471;54.515625;53.4074074074074;;6;8;2;13;;61;1;;4;;;;;;;;;12;37;13;;;10;9;;;;;;81;;9.23641975308642;9.77941176470588;9.0921875;64;13;3;1;
PAC_2024;104;42;81;123;46.2619047619048;49.1481481481481;48.1626016260163;11;13;5;5;47;;40;31;;;;;;;;;;;;123;;;;;;;;;;;120;3;12.3081300813008;14.6666666666667;11.0851851851852;83;18;7;15;
PAC_2024;106;115;153;268;40.6086956521739;40.3660130718954;40.4701492537313;32;49;25;;98;;130;16;15;4;5;;;;;;;;;268;;;;;;;;;;;260;8;17.0783582089552;22.495652173913;13.0065359477124;120;72;27;49;
PAC_2024;108;21;34;55;38.8571428571429;44.9705882352941;42.6363636363636;9;6;4;;20;;18;17;;;;;;;;;;;;55;;;;;;;;;;;52;3;21.5909090909091;24.3809523809524;19.8676470588235;14;21;8;12;
PAC_2024;111;1992;3058;5050;41.6049196787149;43.9153041203401;43.0039603960396;471;830;480;44;1194;6;2973;339;398;37;58;;1;;;;;;802;3565;;;;442;52;;189;;;;4916;134;29.537203960396;31.4885391566265;28.2660922171354;567;1027;1831;1625;
PAC_2024;113;231;176;407;40.4372294372294;43.2386363636364;41.6486486486486;83;81;41;;56;;302;16;32;1;;;;;;23;;;;124;33;;;130;;97;;;;;403;4;14.6914496314496;14.8970995670996;14.4215340909091;235;84;37;51;
PAC_2024;116;1008;1353;2361;42.8005952380952;43.8211382113821;43.3854299025837;248;345;277;16;447;;1748;46;99;;5;;;94;126;148;75;202;89;469;112;205;82;279;159;92;187;;42;;2330;31;11.3372511647606;11.7946428571429;10.9964892830747;1601;476;123;161;
