per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2022;0.7428571428571429;s/i
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2022;0.6985055230669266;s/i
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2022;0.7627311522048364;s/i
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2022;0.7611673615247171;s/i
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2022;0.7710464201416207;s/i
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;2022;0.7522935779816514;s/i
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2022;0.6979706390328152;s/i
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2022;0.7795918367346939;s/i
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2022;0.7567567567567568;s/i
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2022;0.6856649395509499;s/i
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2022;0.6940639269406392;s/i
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2022;0.6880941602535083;s/i
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2022;0.6075697211155379;s/i
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2022;0.7359263050153532;s/i
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2022;0.7426347971095053;s/i
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2022;0.6755597903763697;s/i
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2022;0.7625;s/i
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;2022;0.7587064676616916;s/i
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;2022;0.6340694006309149;s/i
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2022;0.7467622571692877;s/i
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;2022;0.6666666666666666;s/i
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2022;0.6486486486486487;s/i
2024-2025;40;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2022;0.8090277777777778;s/i
2024-2025;41;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2022;0.67550894509562;s/i
2024-2025;42;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;2022;0.7291255752794215;s/i
2024-2025;44;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;2022;0.6745860331173507;s/i
2024-2025;45;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;2022;0.5966386554621849;s/i
2024-2025;47;Tecnología;Centros de Formación Técnica;Técnico en Metalurgia;2022;0.5135135135135135;s/i
2024-2025;48;Tecnología;Centros de Formación Técnica;Técnico en Minería;2022;0.6282306163021869;s/i
2024-2025;51;Salud;Centros de Formación Técnica;Técnico en Podología;2022;0.7099236641221374;s/i
2024-2025;52;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;2022;0.7586206896551724;s/i
2024-2025;53;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;2022;0.6666666666666666;s/i
2024-2025;54;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2022;0.749656121045392;s/i
2024-2025;55;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);2022;0.7222222222222222;s/i
2024-2025;56;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;2022;0.7395833333333334;s/i
2024-2025;57;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;2022;0.6842105263157895;s/i
2024-2025;59;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;2022;0.6847918436703483;s/i
2024-2025;60;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;2022;0.6650717703349283;s/i
2024-2025;62;Tecnología;Centros de Formación Técnica;Técnico en Topografía;2022;0.6464968152866242;s/i
2024-2025;64;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;2022;0.7266754270696452;s/i
2024-2025;66;Derecho;Centros de Formación Técnica;Técnico Jurídico;2022;0.7404063205417607;s/i
2024-2025;67;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;2022;0.8477366255144033;s/i
2024-2025;68;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;2022;0.7985757884028484;s/i
2024-2025;70;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;2022;0.7041062801932367;0.5664904432696218
2024-2025;71;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;2022;0.8409475465313029;0.7229190421892816
2024-2025;72;Ciencias Sociales;Institutos Profesionales;Administración Pública;2022;0.7904347826086957;0.6341681574239714
2024-2025;73;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;2022;0.8340471092077087;0.7502691065662002
2024-2025;74;Arte y Arquitectura;Institutos Profesionales;Animación Digital;2022;0.826530612244898;0.6843177189409368
2024-2025;75;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;2022;0.8226037195994278;0.7310443490701002
2024-2025;76;Tecnología;Institutos Profesionales;Construcción Civil;2022;0.6859306496612196;0.5352798053527981
2024-2025;77;Administración y Comercio;Institutos Profesionales;Contador Auditor;2022;0.748761500353857;0.6273534635879219
2024-2025;78;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;2022;0.8425925925925926;0.7314814814814815
2024-2025;79;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;2022;0.7524752475247525;0.6113861386138614
2024-2025;80;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;2022;0.791867677463818;0.6492074431426602
2024-2025;81;Tecnología;Institutos Profesionales;Diseño Industrial;2022;0.7351598173515982;0.6438356164383562
2024-2025;82;Salud;Institutos Profesionales;Fonoaudiología;2022;0.7080745341614907;0.6521739130434783
2024-2025;84;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;2022;0.8213457076566125;0.7541176470588236
2024-2025;87;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;2022;0.6884875846501128;0.5683122847301951
2024-2025;88;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;2022;0.8186596583442839;0.7182175622542595
2024-2025;89;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;2022;0.7645659928656362;0.6606714628297362
2024-2025;90;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;2022;0.7222222222222222;0.6427104722792608
2024-2025;91;Tecnología;Institutos Profesionales;Ingeniería en Construcción;2022;0.7771129394166043;0.6920777279521674
2024-2025;93;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;2022;0.7980162308385933;0.6999544003647971
2024-2025;96;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;2022;0.7702161729383507;0.7001607717041801
2024-2025;97;Ciencias Básicas;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;2022;0.4507042253521127;0.24647887323943662
2024-2025;98;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;2022;0.6738351254480287;0.4946236559139785
2024-2025;100;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;2022;0.7481442205726405;0.6648907831646244
2024-2025;101;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;2022;0.8070175438596491;0.7089084065244667
2024-2025;103;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;2022;0.8114905399169359;0.7176854876341577
