per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;fecha_act;per_tit_carr;tra_10_inf;tra_25_inf;tra_50_perc;tra_25_sup;tra_10_sup
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;Septiembre de 2024;1er año;516668.39824;642222.525472;782710.419528;907945.670416;1227161.702432
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;Septiembre de 2024;1er año;461052.815008;524570.415488;644662.06872;808990.9364479999;1115735.255472
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;Septiembre de 2024;1er año;443392.813536;474362.563536;543292.850456;642448.008848;742114.2566000001
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;Septiembre de 2024;1er año;444576.6437328;465754.45958400005;510513.75917599996;587904.0143599999;697958.3350432
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;Septiembre de 2024;1er año;455015.8256;491667.398016;557119.5873439999;641340.035072;741744.884816
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;Septiembre de 2024;1er año;623265.8199776;821423.2913120001;1074447.446592;1384079.255328;1819541.453264
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;Septiembre de 2024;1er año;473596.44860800006;555848.4236320001;702766.180496;934144.87552;1305688.529744
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;Septiembre de 2024;1er año;482468.35584000003;563148.837264;709666.68912;945188.558592;1316259.7265120002
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;Septiembre de 2024;1er año;487348.66932800005;647283.0180159999;898271.9899808;1431433.690192;2126031.407408
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;Septiembre de 2024;1er año;508315.272664;609980.5263439999;798194.5866479999;1167836.450464;1659580.205136
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;Septiembre de 2024;1er año;535457.7420256;656427.600624;797495.5787439999;999640.29272;1310254.26136
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;Septiembre de 2024;1er año;493785.84689600003;605351.227104;808544.1225919999;1154147.0894880001;1609300.338192
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;Septiembre de 2024;1er año;482864.29672;571658.87624;777707.595608;1140767.874336;1788008.702704
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;Septiembre de 2024;1er año;474523.20510400005;543766.9884799999;699115.97368;924470.5721504;1268999.8644160002
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;Septiembre de 2024;1er año;453202.33142400003;499854.92686400004;616941.676688;778882.5348319999;946032.0684
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;Septiembre de 2024;1er año;511309.369104;636920.5986560001;879526.4592479999;1270841.296256;1869387.0594239999
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;Septiembre de 2024;1er año;533445.909312;602913.66592;707088.1182400001;893168.250688;1198678.310144
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;Septiembre de 2024;1er año;483581.33196800004;553121.62268;664696.3469039999;792673.452992;957041.0181600001
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;Septiembre de 2024;1er año;504761.431912;578487.9550528;701391.996648;880679.3598079999;1040116.5879680001
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;Septiembre de 2024;1er año;458653.0923696;494670.79128;582939.65192;701148.438736;884676.899744
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;Septiembre de 2024;1er año;435882.3011200001;612403.4108160001;789470.3431840001;1046626.06368;1866863.8919519999
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;Septiembre de 2024;1er año;547485.434928;680200.7593919999;934877.6728960001;1331244.224736;1885395.624048
2024-2025;40;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;Septiembre de 2024;1er año;477858.26374399994;532591.545344;615909.8236080001;739945.359472;857717.90344
2024-2025;41;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;Septiembre de 2024;1er año;505336.74958400003;649936.7185600001;813741.5663199999;1126553.4551680002;1530547.366816
2024-2025;42;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;Septiembre de 2024;1er año;519351.64097599994;680516.473872;897606.327944;1308728.6383840002;1905295.3578400002
2024-2025;44;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;Septiembre de 2024;1er año;479423.433616;591423.8296800001;802135.7321439999;1118197.356496;1549069.6605119999
2024-2025;45;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;Septiembre de 2024;1er año;528990.182248;721845.906096;1053892.782224;1454930.492608;3074831.192224
2024-2025;47;Tecnología;Centros de Formación Técnica;Técnico en Metalurgia;Septiembre de 2024;1er año;668865.335376;834663.761984;970640.5255679999;2438733.622048;3073109.156144
2024-2025;48;Tecnología;Centros de Formación Técnica;Técnico en Minería;Septiembre de 2024;1er año;602970.107552;750032.5550880001;1019266.596064;1427186.315808;2471506.672752
2024-2025;51;Salud;Centros de Formación Técnica;Técnico en Podología;Septiembre de 2024;1er año;457067.828144;497784.613824;615673.9863071999;762441.5027200001;1216241.1904799999
2024-2025;52;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;Septiembre de 2024;1er año;482630.79070400004;572870.4836479999;737651.54512;973673.8385599998;1451841.021136
