per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_tit;tit_mujeres;tit_hombres;tit_total
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2023;42;3.0;45
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2023;556;671.0;1227
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2023;2700;5.0;2705
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2023;1315;34.0;1349
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2023;707;71.0;778
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;2023;20;43.0;63
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2023;2409;1248.0;3657
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2023;380;57.0;437
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2023;11;5.0;16
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2023;315;117.0;432
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2023;161;99.0;260
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2023;161;1085.0;1246
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2023;319;1118.0;1437
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2023;631;275.0;906
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2023;309;745.0;1054
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2023;47;1016.0;1063
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2023;4;85.0;89
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;2023;4484;734.0;5218
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;2023;529;98.0;627
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2023;1587;1010.0;2597
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;2023;16;20.0;36
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2023;51;599.0;650
